Name,Studio,Genre,Modes,Modding Support,Spinoff/Sequel,Open World,Player Persepective,Platforms,Platform Count,Story Hours,Extra Hours,Completionist,Map Size(sqkm),has_map_size,unique_factor,Launch Price,price_per_story_hour,price_per_extra_hour,price_per_completionist_hour,Release Date,Day,Month,Year,Franchise,content_density,critics_rating,user_rating
Fallout: A Post Nuclear Role Playing Game,"Interplay Entertainment, Black Isle Studios","RPG, Science fiction, Survival, Stealth",Single player,Limited,No,No,Bird view/Isometric,"DOS, Linux, Mac, OnLive Game System, PC",5,16,23,32.5,NA,0,1,$49.99,$3.12,$2.17,$1.54,10/10/1997,10,10,1997,Fallout,NA,9.20,9.05
Fallout 2,Black Isle Studios,"Puzzle, RPG, Science fiction, Survival, Stealth, Comedy",Single player,Limited,Yes,No,Bird view/Isometric,"Mac, PC",2,30.5,47.5,82.5,NA,0,0,$49.99,$1.64,$1.05,$0.61,29/10/1998,29,10,1998,Fallout,NA,8.75,9.10
Fallout Tactics: Brotherhood of Steel,Micro Forté,"RPG, Strategy, Tactical, TBS, Action, Science fiction, Stealth","Single player, Multiplayer",Limited,Yes,No,Bird view/Isometric,"Mac, PC",2,25.5,45.5,49.5,NA,0,0,$49.99,$1.96,$1.10,$1.01,15/3/2001,15,3,2001,Fallout,NA,8.25,7.18
Fallout: Brotherhood of Steel,Interplay,"RPG, Action, Science fiction, Comedy, Hack and slash/Beat 'em up",Single player,Limited,Yes,No,Bird view/Isometric,"Playstation 2, Xbox",2,10,13,17.5,NA,0,0,$49.99,$5.00,$3.85,$2.86,13/1/2004,13,1,2004,Fallout,NA,7.05,5.70
Fallout 3,Bethesda Game Studios,"Shooter, RPG, Acrtion, Science fiction, Survival, Stealth, Sandbox",Single player,Yes,Yes,Yes,"First Person, Third Person","PC, Playstation 3, Xbox 360",3,22,52.5,114,39,1,1,$59.99,$2.73,$1.14,$0.53,28/10/2008,28,10,2008,Fallout,0.5641025641,9.05,8.13
Fallout: New Vegas,Obsidian Entertainment,"Shooter, RPG, Acrtion, Science fiction, Survival, Stealth, Sandbox",Single player,Yes,Yes,Yes,"First Person, Third Person","PC, Playstation 3, Xbox 360",3,27,60,131,45,1,1,$59.99,$2.22,$1.00,$0.46,19/10/2010,19,10,2010,Fallout,0.6,8.45,9.05
Fallout 4,Bethesda Game Studios,"Shooter, RPG, Acrtion, Science fiction, Survival, Stealth, Sandbox",Single player,Yes,Yes,Yes,"First Person, Third Person","PC, Playstation 4/5, Xbox One/Series XIS",5,27.5,83,160,43,1,0,$59.99,$2.18,$0.72,$0.37,9/11/2015,9,11,2015,Fallout,0.6395348837,9.10,8.13
Kingdom Come: Deliverance,Warhorse Studios,"RPG, Adventure, Action, Fantasy, Historical, Stealth",Single player,Limited,No,Yes,First Person,"Nintendo Switch, PC, Playstation 4, Xbox One",4,42.5,80.5,136,16,1,1,$59.99,$1.41,$0.75,$0.44,13/2/2018,13,2,2018,Kingdom Come: Deliverance,2.65625,7.80,8.30
Kingdom Come: Deliverance II,Warhorse Studios,"RPG, Adventure, Simulator, Historical, Action",Single player,Limited,Yes,Yes,First Person,"PC, Playstation 5, Xbox Series XIS",3,54.5,96.5,140,20,1,0,$69.99,$1.28,$0.73,$0.50,4/2/2025,4,2,2025,Kingdom Come: Deliverance,2.725,8.90,9.00
Dragon's Dogma,Capcom,"RPG, Hack and slash/Beat 'em up, Action, Fantasy, Sandbox, Historical",Single player,Limited,No,Yes,Third Person,"Playstation 3, Xbox 360",2,37,54.5,102,16,1,1,$59.99,$1.62,$1.10,$0.59,22/5/2012,22,5,2012,Dragon's Dogma,2.3125,7.70,7.95
Dragon's Dogma II,Capcom,"RPG, Action, Fantasy",Single player,Limited,Yes,Yes,Third Person,"PC, Playstation 5, Xbox Series XIS",3,31,56,93.5,30,1,0,$69.99,$2.26,$1.25,$0.75,22/3/2024,22,3,2024,Dragon's Dogma,1.033333333,8.30,6.78
Black Myth: Wukong,Game Science,"RPG, Hack and slash/Beat 'em up, Action, Fantasy, Adventure",Single player,Limited,No,No,Third Person,"PC, Playstation 5, Xbox Series XIS",3,38,48,67.5,NA,0,1,$59.99,$1.58,$1.25,$0.89,20/8/2024,20,8,2024,Black Myth,NA,8.05,8.73
Ghost of Yotei,Sucker Punch Productions,"RPG, Adventure, Stealth, Historical, Action",Single player,No,Yes,Yes,Third Person,Playstation 5,1,28.5,45.5,59.5,38,1,1,$69.99,$2.46,$1.54,$1.18,2/10/2025,2,10,2025,Ghost,0.75,8.80,8.58
Crackdown,Realtime Worlds,"Fighting, Shooter, RPG, Adventure, Action, Science fiction, Sandbox","Single player, Co-operative",No,No,Yes,Thrid Person,Xbox 360,1,11,17,45,16,1,1,$59.99,$5.45,$3.53,$1.33,20/2/2007,20,2,2007,Crackdown,0.6875,8.15,7.40
Crackdown 2,Ruffian Games,"Shooter, Adventure, Action, Sandbox, Science fiction","Single player, Multiplayer, Co-operative",No,Yes,Yes,Thrid Person,Xbox 360,1,7.5,14.5,29,16,1,0,$59.99,$8.00,$4.14,$2.07,6/7/2010,6,7,2010,Crackdown,0.46875,7.25,6.53
Crackdown 3,Sumo Digital,"Shooter, Action, Science fiction","Single player, Multiplayer, Co-operative",No,Yes,Yes,Third Person,"PC, Xbox One",2,7,11,24.5,21,1,0,$59.99,$8.57,$5.45,$2.45,15/2/2019,15,2,2019,Crackdown,0.3333333333,5.50,5.68
Dead Island,Techland,"Shooter, Hack and slash/Beat 'em up, Action, Horror, Survival","Single player, Multiplayer, Co-operative",Limited,No,Yes,First Person,"PC, Playstation 3, Xbox 360",3,18.5,28,48.5,10,1,1,$59.99,$3.24,$2.14,$1.24,6/9/2011,6,9,2011,Dead Island,1.85,7.55,7.55
Dead Island: Riptide,Techland,"Shooter, Hack and slash/Beat 'em up, Action, Horror, Survival, RPG","Single player, Multiplayer",Limited,Yes,Yes,First Person,"PC, Playstation 3, Xbox 360",3,12,21,35.5,9,1,0,$59.99,$5.00,$2.86,$1.69,23/4/2013,23,4,2013,Dead Island,1.333333333,6.45,6.75
Call of Duty,Infinity Ward,"Shooter, Action, Historical, Warfare","Single player, Multiplayer",Limited,No,No,First Person,"Mac, PC",2,7,9,10,NA,0,1,$49.99,$7.14,$5.55,$5.00,29/10/2003,29,10,2003,Call of Duty,NA,9.20,8.45
Call of Duty 2,Infinity Ward,"Shooter, Action, Historical, Warfare","Single player, Multiplayer",Limited,Yes,No,First Person,"Mac, PC, Xbox 360",3,8,9.6,11,NA,0,1,$59.99,$7.50,$6.25,$5.45,25/10/2005,25,10,2005,Call of Duty,NA,8.95,8.50
Call of Duty 3,"Treyarch, Exact Entertainment","Shooter, Action, Historical, Warfare","Single player, Multiplayer",Limited,Yes,No,First Person,"Playstation 2/3, Wii, Xbox/360",5,8,10,11,NA,0,0,$59.99,$7.50,$6.00,$5.45,7/11/2006,7,11,2006,Call of Duty,NA,8.50,7.23
Call of Duty: World at War,Treyarch,"Shooter, Action, Historical, Warfare, Horror, Survival, Stealth, Adventure","Single player, Multiplayer, Co-operative, Splitscreen",Limited,Yes,No,First Person,"PC, Playstaion 3, Xbox 360",3,7,11,25.5,NA,0,1,$59.99,$8.57,$5.45,$2.35,11/11/2008,11,11,2008,Call of Duty,NA,8.80,8.18
Call of Duty: Black Ops,Treyarch,"Shooter, Action, Historical, Warfare, Horror, Survival, Stealth","Single player, Multiplayer, Co-operative, Splitscreen",Limited,Yes,No,First Person,"Mac, PC, Playstaion 3, Xbox 360",4,7,13,18,NA,0,1,$59.99,$8.57,$4.61,$3.33,9/11/2010,9,11,2010,Call of Duty,NA,8.60,8.13
Call of Duty: Black Ops II,Treyarch,"Shooter, Action, Science fiction, Warfare","Single player, Multiplayer, Co-operative, Splitscreen",Limited,Yes,No,First Person,"PC, Playstaion 3, Xbox 360",3,7,10.5,31,NA,0,0,$59.99,$8.57,$5.71,$1.94,12/11/2012,12,11,2012,Call of Duty,NA,8.80,7.65
Call of Duty: Ghosts,"Neversoft Entertainment, Infinity Ward, Raven Software, Treyarch","Shooter, Action, Science fiction, Thriller, Survival, Stealth, Warfare","Single player, Multiplayer, Co-operative",Limited,Yes,No,First Person,"PC, Playstation 3/4, Wii U, Xbox 360/One",6,6,8.5,12.5,NA,0,0,$59.99,$10.00,$7.06,$4.80,5/11/2013,5,11,2013,Call of Duty,NA,8.30,5.90
Call of Duty: Advanced Warfare,Sledgehammer Games,"Shooter, Action, Science fiction, Warfare","Single player, Multiplayer, Co-operative, Splitscreen",Limited,Yes,No,First Person,"PC, Playstation 3/4, Xbox 360/One",5,7,10.5,18,NA,0,1,$59.99,$8.57,$5.71,$3.33,3/11/2014,3,11,2014,Call of Duty,NA,8.60,6.55
Call of Duty: Black Ops III,Treyarch,"Shooter, Adventure, Action, Science fiction, Warfare","Single player, Multiplayer, Co-operative, Splitscreen",Limited,Yes,No,First Person,"Mac, PC, Playstation 4, Xbox One",4,9,15,84,NA,0,0,$59.99,$6.67,$4.00,$0.71,6/11/2015,6,11,2015,Call of Duty,NA,8.65,7.05
Call of Duty: Infinite Warfare,Infinity Ward,"Shooter, Adventure, Action, Science fiction, Warfare","Single player, Multiplayer, Co-operative, Splitscreen",Limited,Yes,No,Fisrt Person,"PC, Playstation 4, Xbox One",3,7.5,9.5,16.5,NA,0,0,$59.99,$8.00,$6.31,$3.64,4/11/2016,4,11,2016,Call of Duty,NA,7.70,5.98
Call of Duty: WWII,Sledgehammer Games,"Shooter, Action, Historical, Warfare","Single player, Multiplayer, Co-operative, Splitscreen",Limited,Yes,No,First Person,"PC, Playstation 4, Xbox One",3,7,9.5,18.5,NA,0,0,$59.99,$8.57,$6.31,$3.24,2/11/2017,2,11,2017,Call of Duty,NA,7.95,6.63
Call of Duty: Black Ops 4,Treyarch,"Shooter, Action, Warfare","Single player, Multiplayer, Co-operative, Splitscreen",Limited,Yes,No,First Person,"PC, Playstation 4, Xbox One",3,5,10,29,NA,0,0,$59.99,$12.00,$6.00,$2.07,12/10/2018,12,10,2018,Call of Duty,NA,8.40,5.60
Call of Duty: Black Ops Cold War,Treyarch,"Shooter, Action, Historical, Warfare","Single player, Multiplayer, Co-operative, Splitscreen",Limited,Yes,No,First Person,PC,1,5.5,7,18,NA,0,0,$59.99,$10.91,$8.57,$3.33,13/11/2020,13,11,2020,Call of Duty,NA,7.30,7.30
Call of Duty: Vanguard,Sledgehammer Games,"Shooter, Action, Warfare","Single player, Multiplayer, Co-operative, Splitscreen",Limited,Yes,No,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,6,9,28,NA,0,0,$59.99,$10.00,$6.67,$2.14,5/11/2021,5,11,2021,Call of Duty,NA,7.15,5.53
Call of Duty: Black Ops 6,"Treyarch, Raven Software","Shooter, Action, Warfare","Single player, Multiplayer, Co-operative",Limited,Yes,No,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,8.5,11,39.5,NA,0,0,$69.99,$8.23,$6.36,$1.77,25/10/2024,25,10,2024,Call of Duty,NA,8.60,6.75
Call of Duty: Black Ops 7,"Treyarch, Raven Software","Shooter, Action, Science fiction, Warfare","Single player, Multiplayer, Co-operative",Limited,Yes,No,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,5,9,22.5,NA,0,0,$69.99,$14.00,$7.78,$3.11,14/11/2025,14,11,2025,Call of Duty,NA,6.25,3.33
Mindseye,Build a Rocket Boy,"Adventure, Action, Science fiction",Single player,No,No,Yes,Third Person,"PC, Playstation 5, Xbox Series XIS",3,10,12,13,12,1,1,$59.99,$6.00,$5.00,$4.61,10/6/2025,10,6,2025,NA,0.8333333333,3.85,4.10
Homefront: The Revolution,Deep Silver Dambuster Studios,"Shooter, Adventure, Action, Warfare","Single player, Multiplayer, Co-operative",No,Yes,Yes,First Person,"PC, Playstation 4, Xbox One",3,12,19,32,9,1,0,$59.99,$5.00,$3.16,$1.87,17/5/2016,17,5,2016,Homefront,1.333333333,5.20,5.48
Dark Souls,FromSoftware,"RPG, Adventure, Action, Fantasy","Single player, Multiplayer, Co-operative",Yes,No,No,Third Person,"PC, Playstation 3, Xbox 360",3,41.5,60,105,NA,0,1,$59.99,$1.45,$1.00,$0.57,22/9/2011,22,9,2011,Dark Souls,NA,8.95,8.83
Dark Souls II,FromSoftware,"RPG, Adventure, Action, Fantasy","Single player, Multiplayer, Co-operative",Yes,Yes,No,Third Person,"PC, Playstation 3, Xbox 360",3,35.5,61,102,NA,0,0,$59.99,$1.69,$0.98,$0.59,11/3/2014,11,3,2014,Dark Souls,NA,9.05,8.15
Dark Souls III,FromSoftware,"RPG, Adventure, Action, Fantasy","Single player, Multiplayer, Co-operative",Yes,Yes,No,Third Person,"PC, Playstation 4, Xbox One",3,31.5,48,101,NA,0,0,$59.99,$1.90,$1.25,$0.59,24/3/2016,24,3,2016,Dark Souls,NA,9.20,8.90
Dying Light,Techland,"Shooter, RPG, Adventure, Action, Horror, Survival, Stealth","Single player, Multiplayer, Co-operative",Yes,No,Yes,First Person,"Linux, Mac, PC, Playstation 4, Xbox One",5,18,36,64,4.9,1,1,$59.99,$3.33,$1.67,$0.94,26/1/2015,26,1,2015,Dying Light,3.673469388,7.95,8.30
Dying Light: The Following,Techland,"Shooter, RPG, Adventure, Action, Horror, Survival","Single player, Multiplayer, Co-operative",Yes,Yes,Yes,First Person,"PC, Playstation 4, Xbox One",3,9,13.5,20,8.5,1,0,$19.99,$2.22,$1.48,$1.00,6/2/2016,6,2,2016,Dying Light,1.058823529,8.35,7.75
Dying Light: The Beast,Techland,"RPG, Adventure, Action, Horror, Survival","Single player, Multiplayer, Co-operative",Limited,Yes,Yes,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,17.5,30.5,43,6.5,1,0,$59.99,$3.43,$1.97,$1.40,18/9/2025,18,9,2025,Dying Light,2.692307692,7.45,8.03
S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,"Shooter, RPG, Adventure, Action, Horror, Survival, Stealth, Science fiction, Sandbox","Single player, Multiplayer",Yes,No,Yes,First Person,"Nintendo Switch, PC, Playstation 4, Xbox One",4,15,24.5,42,30,1,1,$49.99,$3.33,$2.04,$1.19,23/3/2007,23,3,2007,S.T.A.L.K.E.R.,0.5,8.20,7.70
S.T.A.L.K.E.R.: Clear Sky,GSC Game World,"Shooter, RPG, Adventure, Action, Horror, Survival, Stealth","Single player, Multiplayer",Yes,Yes,Yes,First Person,"Nintendo Switch, PC",2,13,22.5,35.5,30,1,0,$49.99,$3.85,$2.22,$1.41,22/8/2008,22,8,2008,S.T.A.L.K.E.R.,0.4333333333,7.40,7.28
S.T.A.L.K.E.R.: Call of Pripyat,GSC Game World,"Shooter, RPG, Adventure, Action, Horror, Survival, Stealth, Science fiction, Sandbox","Single player, Multiplayer",Yes,Yes,Yes,First Person,"Nintendo Switch, PC, Playstation 4, Xbox One",4,15,24,32,25,1,0,$49.99,$3.33,$2.08,$1.56,2/10/2009,2,10,2009,S.T.A.L.K.E.R.,0.6,8.10,7.70
S.T.A.L.K.E.R. 2: Heart of Chornobyl,GSC Game World,"Shooter, RPG, Adventure, Action, Horror, Survival",Single player,Yes,Yes,Yes,First Person,"PC, Playstation 5, Xbox Series XIS",3,36,70,131,64,1,0,$59.99,$1.67,$0.86,$0.46,20/11/2024,20,11,2024,S.T.A.L.K.E.R.,0.5625,7.65,7.53
Mafia,Illusion Softworks,"Fighting, Shooter, Adventure, Action, Stealth, Racing",Single player,Yes,No,Yes,Third Person,"PC, Playstation 2, Xbox",3,16,18.5,21,16,1,1,$49.99,$3.12,$2.70,$2.38,29/8/2002,29,8,2002,Mafia,1,7.90,8.58
Mafia II,"2K Czech, Massive Bear Studios","Shooter, Racing, Adventure, Action, Stealth, Sandbox, Historical, Fantasy",Single player,Yes,Yes,Yes,Third Person,"PC, Playstation 3, Xbox 360",3,12,16.5,31.5,10,1,0,$59.99,$5.00,$3.64,$1.90,24/8/2010,24,8,2010,Mafia,1.2,7.20,8.48
Mafia III,Hangar 13,"Shooter, Racing, Adventure , Action, Drama",Single player,Yes,Yes,Yes,Third Person,"Mac, PC, Playsyation 4, Xbox One",4,22.5,35,51,20,1,0,$59.99,$2.67,$1.71,$1.18,7/10/2016,7,10,2016,Mafia,1.125,7.15,6.28
Mafia: Definitive Edition,Hangar 13,"Shooter, Adventure, Action, Drama",Single player,Limited,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,10.5,13,24.5,16,1,0,$39.99,$3.81,$3.08,$1.63,24/9/2020,24,9,2020,Mafia,0.65625,7.90,8.20
Max Payne,Remedy Entertainment,"Shooter, Action, Thriller",Single player,Yes,No,No,Third Person,"Android, iOS, Mac, PC, Playstation 2/3/4, Xbox/360/One",10,8,9,11.5,NA,0,1,$49.99,$6.25,$5.55,$4.35,23/7/2001,23,7,2001,Max Payne,NA,9.10,8.93
Max Payne 2: The Fall of Max Payne,Remedy Entertainment,"Shooter, Action, Thriller",Single player,Yes,Yes,No,Third Person,"PC, Playstation 2/3, Xbox/360",5,6,7.5,9.5,NA,0,0,$49.99,$8.33,$6.67,$5.26,14/10/2003,14,10,2003,Max Payne,NA,9.00,8.88
Max Payne 3,"Rockstar New England, Rockstar Vancouver, Rockstar London, Rockstar Toronto","Shooter, Action, Thriller, Sandbox","Single player, Multiplayer",Limited,Yes,No,Third Person,"Mac, PC, Playstaion 3, Xbox 360",4,10,13,32,NA,0,0,$59.99,$6.00,$4.61,$1.87,15/5/2012,15,5,2012,Max Payne,NA,8.80,8.45
Conan Exiles,Funcom,"Fighting, RPG, Simulator, Strategy, Adventure, Action, Fantasy, Survival","Single player, Multiplayer, Co-operative, Massively Multiplayer Online(MMO)",Yes,No,Yes,"First Person, Third Person","PC, Playstation 4, Xbox One",3,42.5,116,138,64,1,1,$49.99,$1.18,$0.43,$0.36,8/5/2018,8,5,2018,Conan,0.6640625,6.75,6.20
Metal Gear Survive,Konami,"Shooter, Strategy, Science fiction, Survival, Action, Adventure","Single player, Multiplayer, Co-operative",No,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,22.5,31.5,60,12,1,1,$39.99,$1.78,$1.27,$0.67,20/2/2018,20,2,2018,Metal Gear,1.875,6.25,3.10
Driv3r,Reflections Interactive,"Shooter, Racing, Action, Sandbox",Single player,No,Yes,Yes,"First Person, Third Person","PC, Playstation 2, Xbox",3,10,13.5,14,20,1,0,$49.99,$5.00,$3.70,$3.57,21/6/2004,21,6,2004,Driver,0.5,5.50,5.60