Name,Studio,Genre,Modes,Modding Support,Spinoff/Sequel,Open World,Player Persepective,Platforms,Platform Count,Story Hours,Extra Hours,Completionist,Map Size(sqkm),has_map_size,unique_factor,Launch Price,price_per_story_hour,price_per_extra_hour,price_per_completionist_hour,Release Date,Day,Month,Year,Franchise,content_density,critics_rating,user_rating,genre_count,modes_count,has_Action,has_Adventure,has_Shooter,has_Rpg,has_Survival,has_multiplayer,has_coop,is_first_person,is_third_person,is_isometric,is_vr,is_side_view,franchise_avg_critic,franchise_avg_user,is_first_franchise_game,studio_avg_critic,studio_avg_user,has_new_studio
Watch Dogs 2,ubisoft montreal,"shooter,adventure,action,science fiction,stealth,sandbox","single player,multiplayer,co-operative",Yes,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,19.5,31.5,46.5,56.94,1,1,$49.99,$2.56,$1.59,$1.08,2016-11-15,15,11,2016,Watch Dogs,0.3424657534,8.35,7.93,6,3,1,1,1,0,0,1,1,0,1,0,0,0,8.2,7.35,0,8.25,7.831666666666667,0
Resident Evil 7: Biohazard,capcom,"shooter,adventure,action,horror,survival,puzzle",single player,Limited,Yes,No,"First Person, Virtual Reality","Nintendo Switch 2, PC, Playstation 4/5, Xbox One",5,9.5,12.0,27.5,,0,1,$59.99,$6.31,$5.00,$2.18,2017-01-24,24,1,2017,Resident Evil,,8.15,8.55,6,1,1,1,1,0,1,0,0,1,0,0,1,0,7.928571428571429,8.224285714285715,0,7.933333333333334,7.3933333333333335,0
Tom Clancy's Ghost Recon: Wildlands,ubisoft paris,"shooter,tactical,adventure,action,stealth","single player,multiplayer,co-operative",No,Yes,Yes,"First Person, Third Person","PC, Playstation 4, Xbox One",3,27.0,54.0,84.5,440.0,1,1,$59.99,$2.22,$1.11,$0.71,2017-03-06,6,3,2017,Ghost Recon,0.06136363636,7.45,7.1,5,3,1,1,1,0,0,1,1,1,1,0,0,0,8.799999999999999,7.5633333333333335,0,8.774999999999999,7.43,0
Mass Effect: Andromeda,biowware montréal,"shooter,rpg,adventure,action,science fiction","single player,multiplayer,co-operative",Limited,Yes,Semi,Third Person,"PC, Playstation 4, Xbox One",3,18.5,63.0,94.0,,0,0,$59.99,$3.24,$0.95,$0.64,2017-03-21,21,3,2017,Mass Effect,,7.4,6.5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,9.4,8.393333333333333,0,7.699408284023669,7.367455621301775,0
Assassin's Creed Origins,ubisoft montreal,"action,rpg,stealth,parkour","single player,multiplayer,co-operative",Limited,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,30.0,52.5,85.0,80.0,1,1,$59.99,$2.00,$1.14,$0.71,2017-10-27,27,10,2017,Assassins Creed,0.375,8.55,8.2,4,3,1,0,0,1,0,1,1,0,1,0,0,0,7.7625,7.4675,0,8.264285714285714,7.845714285714286,0
Call of Duty: WWII,sledgehammer games,"shooter,action,historical,warfare","single player,multiplayer,co-operative,splitscreen",Limited,Yes,No,First Person,"PC, Playstation 4, Xbox One",3,7.0,9.5,18.5,,0,0,$59.99,$8.57,$6.31,$3.24,2017-11-02,2,11,2017,Call of Duty,,7.95,6.63,4,4,1,0,1,0,0,1,1,1,0,0,0,0,8.757692307692308,7.5430769230769235,0,8.75,6.890000000000001,0
Kingdom Come: Deliverance,warhorse studios,"rpg,adventure,action,fantasy,historical,stealth",single player,Limited,No,Yes,First Person,"Nintendo Switch, PC, Playstation 4, Xbox One",4,42.5,80.5,136.0,16.0,1,1,$59.99,$1.41,$0.75,$0.44,2018-02-13,13,2,2018,Kingdom Come: Deliverance,2.65625,7.8,8.3,6,1,1,1,0,1,0,0,0,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Metal Gear Survive,konami,"shooter,strategy,science fiction,survival,action,adventure","single player,multiplayer,co-operative",No,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,22.5,31.5,60.0,12.0,1,1,$39.99,$1.78,$1.27,$0.67,2018-02-20,20,2,2018,Metal Gear,1.875,6.25,3.1,6,3,1,1,1,0,1,1,1,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Far Cry 5,ubisoft montreal,"action,adventure,shooter,fps","single player,multiplayer,co-operative",Limited,Yes,Yes,First Person,"PC, Playstation 3/4, Xbox 360/One",5,18.0,31.0,47.5,60.0,1,0,$59.99,$3.33,$1.94,$1.26,2018-03-27,27,3,2018,Far Cry,0.3,8.5,7.88,4,3,1,1,1,0,0,1,1,1,0,0,0,0,8.483333333333333,7.84,0,8.3,7.890000000000001,0
God of War(2018),sie santa monica studios,"rpg,adventure,hack and slash/beat 'em up,action,historical,fantasy",single player,No,No,No,Third Person,"PC, Playstation 4",2,20.5,33.0,51.0,,0,1,$59.99,$2.93,$1.82,$1.18,2018-04-20,20,4,2018,God of War,,9.7,9.45,6,1,1,1,0,1,0,0,0,0,1,0,0,0,9.6,8.8,0,7.699408284023669,7.367455621301775,0
Conan Exiles,funcom,"fighting,rpg,simulator,strategy,adventure,action,fantasy,survival","single player,multiplayer,co-operative,massively multiplayer online(mmo)",Yes,No,Yes,"First Person, Third Person","PC, Playstation 4, Xbox One",3,42.5,116.0,138.0,64.0,1,1,$49.99,$1.18,$0.43,$0.36,2018-05-08,8,5,2018,Conan,0.6640625,6.75,6.2,8,4,1,1,0,1,1,1,1,1,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Detriot: Become Human,quantic dream,"puzzle,adventure,action,science fiction,thriller,drama,mystery",single player,No,No,No,Third Person,"PC, Playstation 4",2,12.0,16.0,32.0,,0,1,$59.99,$5.00,$3.75,$1.87,2018-05-25,25,5,2018,,,7.9,8.78,7,1,1,1,0,0,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.675,8.350000000000001,0
Agony,madmind studio,"shooter,adventure,indie,action,horror,survival",single player,No,No,No,First Person,"PC, Playstation 4, Xbox One, Nintendo Switch",4,7.5,10.5,14.0,,0,1,$39.99,$5.33,$3.81,$2.86,2018-05-29,29,5,2018,Agony,,4.35,5.4,6,1,1,1,1,0,1,0,0,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Marvel's Spiderman,insomniac games,"hack and slash/beat 'em up,adventure,superhero,action,stealth",single player,Yes,No,Yes,Third Person,"PC, Playstation 4/5",3,18.0,29.5,45.0,2.0,1,1,$59.99,$3.33,$2.03,$1.33,2018-09-07,7,9,2018,Marvel's Spiderman,9.0,8.7,8.88,5,1,1,1,0,0,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Call of Duty: Black Ops 4,treyarch,"shooter,action,warfare","single player,multiplayer,co-operative,splitscreen",Limited,Yes,No,First Person,"PC, Playstation 4, Xbox One",3,5.0,10.0,29.0,,0,0,$59.99,$12.00,$6.00,$2.07,2018-10-12,12,10,2018,Call of Duty,,8.4,5.6,3,4,1,0,1,0,0,1,1,1,0,0,0,0,8.7,7.477857142857142,0,8.608333333333334,7.3566666666666665,0
Red Dead Redemption 2,rockstar games,"shooter,rpg,adventure,action","single player,multiplayer,co-operative",Yes,Yes,Yes,"First Person, Third Person","PC, Playstation 4/5, Xbox One",4,50.5,84.0,189.0,75.0,1,1,$59.99,$1.19,$0.71,$0.32,2018-10-26,26,10,2018,Red Dead Redemption,0.6733333333,9.85,9.18,4,3,1,1,1,1,0,1,1,1,1,0,0,0,9.6,9.05,0,9.7,8.805,0
Agony Unrated,madmind studio,"adventure,indie,horror,survival,action,erotic",single player,No,No,No,First Person,PC,1,7.5,10.5,14.0,,0,1,$49.99,$6.67,$4.76,$3.57,2018-10-30,30,10,2018,,,4.35,5.4,6,1,1,1,0,0,1,0,0,1,0,0,0,0,7.699408284023669,7.367455621301775,1,4.35,5.4,0
The Quiet Man,human head studios,"hack and slash/beat 'em up,action",single player,No,No,No,Third Person,"PC, Playstation 4",2,3.0,5.5,6.0,,0,1,$14.99,$5.00,$2.73,$2.50,2018-11-01,1,11,2018,,,4.15,2.55,2,1,1,0,0,0,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Fallout 76,bethesda game studios,"shooter,rpg,action,science fiction,survival","multiplayer,co-operative,massively multiplayer online(mmo)",Limited,Yes,Yes,"First Person, Third Person","PC, Playstation 4",2,35.5,115.0,298.0,41.4,1,0,$59.99,$1.69,$0.52,$0.20,2018-11-14,14,11,2018,Fallout,0.8574879227,6.1,5.15,5,3,1,0,1,1,1,1,1,1,1,0,0,0,8.55,8.04857142857143,0,9.033333333333333,8.578333333333333,0
Crackdown 3,sumo digital,"shooter,action,science fiction","single player,multiplayer,co-operative",No,Yes,Yes,Third Person,"PC, Xbox One",2,7.0,11.0,24.5,21.0,1,0,$59.99,$8.57,$5.45,$2.45,2019-02-15,15,2,2019,Crackdown,0.3333333333,5.5,5.68,3,3,1,0,1,0,0,1,1,0,1,0,0,0,7.7,6.965,0,7.699408284023669,7.367455621301775,0
Far Cry New Dawn,unisoft montreal,"shooter,adventure,action","single player,multiplayer,co-operative",No,Yes,Yes,First Person,"PC, Playstation 4, Xbox One",3,11.5,18.0,29.0,15.0,1,0,$39.99,$3.48,$2.22,$1.38,2019-02-15,15,2,2019,Far Cry,0.7666666667,7.3,6.23,3,3,1,1,1,0,0,1,1,1,0,0,0,0,8.485714285714286,7.845714285714286,0,8.35,7.59,0
Anthem,bioware,"shooter,rpg,adventure,action,science fiction","multiplayer,co-operative",No,No,No,Third Person,"PC, Playstation 4, Xbox One",3,14.5,28.0,56.0,,0,1,$59.99,$4.14,$2.14,$1.07,2019-02-22,22,2,2019,,,6.2,5.4,5,2,1,1,1,1,0,1,1,0,1,0,0,0,7.699408284023669,7.367455621301775,1,9.4,8.393333333333333,0
Left Alive,"square enix,liinx corporation","shooter,action,science fiction,survival,stealth,warfare",single player,No,No,No,Third Person,"PC, Playstation 4",2,12.5,20.0,38.0,,0,0,$59.99,$4.80,$3.00,$1.58,2019-02-28,28,2,2019,Front Mission,,3.75,5.13,6,1,1,0,1,0,1,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Days Gone,bend studio,"shooter,adventure,action,horror,survival,sandbox",single player,Limited,No,Yes,Third Person,"PC, Playstation 4",2,36.5,50.5,65.5,30.0,1,0,$59.99,$1.64,$1.19,$0.92,2019-04-26,26,4,2019,Days Gone,1.216666667,6.8,8.45,6,1,1,1,1,0,1,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Tom Clancy's Ghost Recon: Breakpoint,ubisoft paris,"shooter,tactical,adventure,action,stealth,warfare","single player,multiplayer,co-operative",No,Yes,Yes,Third Person,"Google Stadia, PC, Playstation 4/5, Xbox One/Serires XIS",6,23.0,54.5,99.5,400.0,1,0,$59.99,$2.61,$1.10,$0.60,2019-10-04,4,10,2019,Ghost Recon,0.0575,5.8,5.83,6,3,1,1,1,0,0,1,1,0,1,0,0,0,8.4625,7.4475,0,8.333333333333334,7.32,0
The Last of Us Part II,naughty dog,"shooter,adventure,action,survival,stealth,horror",single player,No,Yes,No,Third Person,Playstation 4/5,2,24.0,29.5,43.5,,0,1,$59.99,$2.50,$2.03,$1.38,2020-06-19,19,6,2020,The Last of Us,,9.65,8.18,6,1,1,1,1,0,1,0,0,0,1,0,0,0,9.75,9.3,0,9.45,9.175,0
Ghost of Tsushima,sucker punch productions,"rpg,adventure,hack and slash/beat 'em up,action,historical,stealth",single player,Limited,No,Yes,Third Person,"PC, Playstation 4/5",3,25.0,46.0,62.5,28.62,1,1,$59.99,$2.40,$1.30,$0.96,2020-07-17,17,7,2020,Ghost,0.8735150245,8.65,9.08,6,1,1,1,0,1,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Mafia: Definitive Edition,hangar 13,"shooter,adventure,action,drama",single player,Limited,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,10.5,13.0,24.5,16.0,1,0,$39.99,$3.81,$3.08,$1.63,2020-09-24,24,9,2020,Mafia,0.65625,7.9,8.2,4,1,1,1,1,0,0,0,0,0,1,0,0,0,7.416666666666667,7.78,0,7.15,6.28,0
Watch Dogs: Legion,ubisoft toronto,"shooter,rpg,adventure,action,science fiction,stealth","single player,multiplayer,co-operative",Yes,Yes,Yes,Third Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,18.0,33.0,50.0,23.76,1,1,$59.99,$3.33,$1.82,$1.20,2020-10-29,29,10,2020,Watch Dogs,0.7575757576,7.8,6.23,6,3,1,1,1,1,0,1,1,0,1,0,0,0,8.274999999999999,7.64,0,7.699408284023669,7.367455621301775,0
Assassin's Creed Valhalla,ubisoft montreal,"action,rpg,stealth,parkour",single player,No,Yes,Yes,Third Person,"PC, Playstation 4/5, Xbox One",4,61.0,99.0,149.0,120.0,1,0,$59.99,$0.98,$0.61,$0.40,2020-11-10,10,11,2020,Assassins Creed,0.5083333333,8.0,7.05,4,1,1,0,0,1,0,0,0,0,1,0,0,0,7.92,7.614,0,8.322222222222223,7.888888888888889,0
Marvel's Spider-Man: Miles Morales,insomniac games,"hack and slash/beat 'em up,adventure,superhero,action,stealth",single player,Yes,Yes,Yes,Third Person,"PC, Playstation 4/5",3,7.5,12.5,18.5,2.0,1,0,$49.99,$6.67,$4.00,$2.70,2020-11-12,12,11,2020,Marvel's Spiderman,3.75,8.75,8.2,5,1,1,1,0,0,0,0,0,0,1,0,0,0,8.7,8.88,0,8.7,8.88,0
Call of Duty: Black Ops Cold War,treyarch,"shooter,action,historical,warfare","single player,multiplayer,co-operative,splitscreen",Limited,Yes,No,First Person,PC,1,5.5,7.0,18.0,,0,0,$59.99,$10.91,$8.57,$3.33,2020-11-13,13,11,2020,Call of Duty,,7.3,7.3,4,4,1,0,1,0,0,1,1,1,0,0,0,0,8.68,7.352666666666667,0,8.57857142857143,7.105714285714286,0
Cyberpunk 2077,cd projekt red,"sci-fi,rpg,shooter,adventure",single player,Limited,No,Yes,"First Person, Third Person","PC, Playstation 4/5, Xbox One/Series XIS",5,26.0,63.0,107.0,225.0,1,1,$59.99,$2.31,$0.95,$0.56,2020-12-10,10,12,2020,Cyberpunk,0.1155555556,8.8,8.25,4,1,0,1,1,1,0,0,0,1,1,0,0,0,7.699408284023669,7.367455621301775,1,9.075,9.065,0
Resident Evil Village,"capcom development,division 1,capcom","shooter,adventure,action,horror,survival,stealth",single player,Limited,Yes,No,"First Person, Virtual Reality","Google Stadia, iOS, Mac, Nintendo Switch/Switch 2, PC, Playstation 4/5, Xbox One/Series XIS",10,10.0,13.0,38.5,,0,0,$59.99,$6.00,$4.61,$1.56,2021-05-06,6,5,2021,Resident Evil,,8.2,8.6,6,1,1,1,1,0,1,0,0,1,0,0,1,0,7.956250000000001,8.265,0,7.987500000000001,7.6825,0
Aliens: Fireteam Elite,cold iron studios,"shooter,rpg,action,science fiction","single player,multiplayer,co-operative",Limited,Yes,No,Third Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,8.5,16.0,58.5,,0,0,$39.99,$4.70,$2.50,$0.68,2021-08-23,23,8,2021,,,6.95,6.88,4,3,1,0,1,1,0,1,1,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Far Cry 6,ubisoft toronto,"action,adventure,shooter,fps","single player,multiplayer,co-operative",Limited,Yes,Yes,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,24.5,41.5,63.5,88.0,1,0,$59.99,$2.45,$1.45,$0.94,2021-10-07,7,10,2021,Far Cry,0.2784090909,7.65,6.38,4,3,1,1,1,0,0,1,1,1,0,0,0,0,8.3375,7.64375,0,7.8,6.23,0
Call of Duty: Vanguard,sledgehammer games,"shooter,action,warfare","single player,multiplayer,co-operative,splitscreen",Limited,Yes,No,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,6.0,9.0,28.0,,0,0,$59.99,$10.00,$6.67,$2.14,2021-11-05,5,11,2021,Call of Duty,,7.15,5.53,3,4,1,0,1,0,0,1,1,1,0,0,0,0,8.59375,7.349375,0,8.483333333333333,6.803333333333334,0
Dying Light 2: Stay Human,"techland,techland publishing","rpg,adventure,action,horror,survival","single player,multiplayer,co-operative",Limited,Yes,Yes,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,24.5,49.0,103.0,124.0,1,0,$59.99,$2.45,$1.22,$0.58,2022-02-03,3,2,2022,Dying Light,0.1975806452,7.3,7.2,5,3,1,1,0,1,1,1,1,1,0,0,0,0,8.15,8.025,0,7.575,7.5875,0
Elden Ring,fromsoftware,"rpg,adventure,action,fanstasy","single player,multiplayer,co-operative",Limited,No,Yes,Third Person,"Nintendo Switch 2, PC, Playstation 4/5, Xbox One/Series XIS",6,60.0,101.0,135.0,79.0,1,1,$59.99,$1.00,$0.59,$0.44,2022-02-25,25,2,2022,Elden Ring,0.7594936709,9.8,9.05,4,3,1,1,0,1,0,1,1,0,1,0,0,0,7.699408284023669,7.367455621301775,1,9.066666666666666,8.626666666666667,0
Postal 4: No Regerts,running with scissors,"shooter,action,adventure,comedy,horror,sandbox",single player,No,Yes,Yes,First Person,"PC, Playstation 4/5",3,11.0,15.0,20.5,256.0,1,0,$39.99,$3.64,$2.67,$1.95,2022-04-20,20,4,2022,Postal,0.04296875,2.55,5.78,6,1,1,1,1,0,0,0,0,1,0,0,0,0,4.0,6.3,0,4.025,7.725,0
Saints Row,volition,"shooter,adventure,action","single player,multiplayer,co-operative",No,Yes,Yes,Third Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,12.5,27.0,52.5,,0,1,$59.99,$4.80,$2.22,$1.14,2022-08-23,23,8,2022,Saints Row,,6.05,4.98,3,3,1,1,1,0,0,1,1,0,1,0,0,0,7.949999999999999,7.925,0,7.949999999999999,7.925,0
The Last of Us Part I,naughty dog,"shooter,adventure,action,survival,stealth,horror",single player,No,No,No,Third Person,"PC, Playstation 5",2,14.5,18.0,24.5,,0,0,$69.99,$4.83,$3.89,$2.86,2022-09-02,2,9,2022,The Last of Us,,8.95,8.98,6,1,1,1,1,0,1,0,0,0,1,0,0,0,9.7,8.74,0,9.516666666666667,8.843333333333334,0
The Callisto Protocol,striking distance studios,"shooter,adventure,action,science fiction,horror,survival",single player,No,No,No,Third Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,10.0,12.0,15.5,,0,0,$69.99,$7.00,$5.83,$4.52,2022-12-02,2,12,2022,The Callisto Protocol,,6.95,6.7,6,1,1,1,1,0,1,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Dead Island 2,deep silver dambuster studios,"shooter,rpg,hack and slash/beat 'em up,adventure,action,horror,survival,comedy","single player,multiplayer,co-operative",No,Yes,Yes,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,16.0,26.5,38.5,,0,0,$69.99,$4.37,$2.64,$1.82,2023-04-21,21,4,2023,Dead Island,,7.15,7.13,8,3,1,1,1,1,1,1,1,1,0,0,0,0,7.0,7.15,0,5.2,5.48,0
Redfall,arkane studios,"action,adventure,co-op,fps","single player,multipllayer,co-operative",No,No,Yes,First Person,"PC, Xbox Series XIS",2,12.5,19.5,31.0,,0,0,$70.00,$5.60,$3.59,$2.26,2023-05-02,2,5,2023,,,4.8,4.28,4,3,1,1,0,0,0,0,1,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Marvel's Spiderman 2,insomniac games,"hack and slash/beat 'em up,adventure,superhero,action,stealth",single player,Yes,Yes,Yes,Third Person,"PC, Playstation 4/5",3,17.0,23.5,28.5,12.0,1,0,$69.99,$4.12,$2.98,$2.46,2023-10-20,20,10,2023,Marvel's Spiderman,1.416666667,8.5,8.43,5,1,1,1,0,0,0,0,0,0,1,0,0,0,8.725,8.54,0,8.725,8.54,0
Dragon's Dogma II,capcom,"rpg,action,fantasy",single player,Limited,Yes,Yes,Third Person,"PC, Playstation 5, Xbox Series XIS",3,31.0,56.0,93.5,30.0,1,0,$69.99,$2.26,$1.25,$0.75,2024-03-22,22,3,2024,Dragon's Dogma,1.033333333,8.3,6.78,3,1,1,0,0,1,0,0,0,0,1,0,0,0,7.7,7.95,0,8.03,7.866,0
Black Myth: Wukong,game science,"rpg,hack and slash/beat 'em up,action,fantasy,adventure",single player,Limited,No,No,Third Person,"PC, Playstation 5, Xbox Series XIS",3,38.0,48.0,67.5,,0,1,$59.99,$1.58,$1.25,$0.89,2024-08-20,20,8,2024,Black Myth,,8.05,8.73,5,1,1,1,0,1,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Call of Duty: Black Ops 6,"treyarch,raven software","shooter,action,warfare","single player,multiplayer,co-operative",Limited,Yes,No,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,8.5,11.0,39.5,,0,0,$69.99,$8.23,$6.36,$1.77,2024-10-25,25,10,2024,Call of Duty,,8.6,6.75,3,3,1,0,1,0,0,1,1,1,0,0,0,0,8.508823529411766,7.24235294117647,0,8.359375,6.515000000000001,0
S.T.A.L.K.E.R. 2: Heart of Chornobyl,gsc game world,"shooter,rpg,adventure,action,horror,survival",single player,Yes,Yes,Yes,First Person,"PC, Playstation 5, Xbox Series XIS",3,36.0,70.0,131.0,64.0,1,0,$59.99,$1.67,$0.86,$0.46,2024-11-20,20,11,2024,S.T.A.L.K.E.R.,0.5625,7.65,7.53,6,1,1,1,1,1,1,0,0,1,0,0,0,0,7.8999999999999995,7.56,0,7.8999999999999995,7.56,0
Kingdom Come: Deliverance II,warhorse studios,"rpg,adventure,simulator,historical,action",single player,Limited,Yes,Yes,First Person,"PC, Playstation 5, Xbox Series XIS",3,54.5,96.5,140.0,20.0,1,0,$69.99,$1.28,$0.73,$0.50,2025-02-04,4,2,2025,Kingdom Come: Deliverance,2.725,8.9,9.0,5,1,1,1,0,1,0,0,0,1,0,0,0,0,7.8,8.3,0,7.8,8.3,0
Assassin's Creed Shadows,ubisoft montreal,"action,rpg,stealth,parkour,vikings",single player,No,Yes,Yes,Third Person,"PC, Playstation 4/5, Xbox One",4,34.0,63.5,95.0,125.0,1,1,$69.99,$2.06,$1.10,$0.74,2025-03-20,20,3,2025,Assassins Creed,0.272,8.1,6.88,5,1,1,0,0,1,0,0,0,0,1,0,0,0,7.933333333333334,7.52,0,8.290000000000001,7.805,0
Mindseye,build a rocket boy,"adventure,action,science fiction",single player,No,No,Yes,Third Person,"PC, Playstation 5, Xbox Series XIS",3,10.0,12.0,13.0,12.0,1,1,$59.99,$6.00,$5.00,$4.61,2025-06-10,10,6,2025,,0.8333333333,3.85,4.1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Dying Light: The Beast,techland,"rpg,adventure,action,horror,survival","single player,multiplayer,co-operative",Limited,Yes,Yes,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,17.5,30.5,43.0,6.5,1,0,$59.99,$3.43,$1.97,$1.40,2025-09-18,18,9,2025,Dying Light,2.692307692,7.45,8.03,5,3,1,1,0,1,1,1,1,1,0,0,0,0,7.866666666666666,7.75,0,7.5200000000000005,7.510000000000001,0
Ghost of Yotei,sucker punch productions,"rpg,adventure,stealth,historical,action",single player,No,Yes,Yes,Third Person,Playstation 5,1,28.5,45.5,59.5,38.0,1,1,$69.99,$2.46,$1.54,$1.18,2025-10-02,2,10,2025,Ghost,0.75,8.8,8.58,5,1,1,1,0,1,0,0,0,0,1,0,0,0,8.65,9.08,0,8.65,9.08,0
God of War Ragnarök,sie santa monica studios,"rpg,adventure,hack and slash/beat 'em up,action,historical,fantasy",single player,No,Yes,Yes,Third Person,"PC, Playstation 4/5",3,26.5,33.5,50.5,,0,0,$59.99,$2.26,$1.79,$1.19,2025-11-09,9,11,2025,God of War,,9.7,9.03,6,1,1,1,0,1,0,0,0,0,1,0,0,0,9.649999999999999,9.125,0,9.7,9.45,0
Call of Duty: Black Ops 7,"treyarch,raven software","shooter,action,science fiction,warfare","single player,multiplayer,co-operative",Limited,Yes,No,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,5.0,9.0,22.5,,0,0,$69.99,$14.00,$7.78,$3.11,2025-11-14,14,11,2025,Call of Duty,,6.25,3.33,4,3,1,0,1,0,0,1,1,1,0,0,0,0,8.51388888888889,7.215,0,8.444444444444445,6.706388888888888,0
